1,اويل سيل صباب 9 مم مرسيدس ملاكي - كلنجر,45,كلنجر
2,طقم كاوتشه مياه افيكو - ليما,14,ليما
3,صباب شكمان نصر714 - HTK,4,HTK
4,صباب هواء نصر714 - HTK,4,HTK
5,صباب هواء 614 - HTK,4,HTK
6,صباب شكمان نصر614 - HTK,4,HTK
7,صباب شكمان نصر912 - HTK,4,HTK
8,صباب هواء نصر 912 - HTK,4,HTK
9,صباب هواء افيكو 682 - تكنوستار,5,TECNOSTAR
10,صباب شكمان افيكو 682 - تكنوستار,5,TECNOSTAR
11,طقم كاوتشه مياه افيكو - لينا ريكامبي,96,لينا ريكامبي
12,طقم كاوتشه مياه افيكو - ليما,14,ليما
13,طقم جوان 104 مم تربو 4 سلندر - اصلي,31,بضاعه اصلي
13,طقم جوان 104 مم تربو 4 سلندر - اصلي,46,اطقم + جوانات
14,طلمبه زيت 966 افيكو - اصلي,31,بضاعه اصلي
15,طقم كاوتشه افيكو- لينا ريكامبي,96,لينا ريكامبي
16,كاوتشه افيكو - لينا ريكمبي,96,لينا ريكامبي
17,صباب مرسيدس 360 - تكنوستار,5,TECNOSTAR
18,صباب هواء مرسيدس 360 - تكنوستار,5,TECNOSTAR
19,كاوتشه افيكو - اميري,96,لينا ريكامبي
20,صره عجل افيكو - ايرفي,67,ايرفي
20,صره عجل افيكو - ايرفي,101,طنابير+صرر+تيل
21,طلمبه زيت افيكو974 - اصلي,31,بضاعه اصلي
22,طنبوره عجل مرسيدس - الماني,101,طنابير+صرر+تيل
23,صباب هواء مرسيدس 355 ديزل - تكنوستار,5,TECNOSTAR
24,صباب شكمان مرسيدس 355 ديزل - تكنوستار,5,TECNOSTAR
25,طنبوره عجل مرسيدس - الماني,101,طنابير+صرر+تيل
26,طنبوره عجل مرسيدس - الماني,101,طنابير+صرر+تيل
27,مروحه افيكو 941/104- H.T.P,97,مراوح
28,مروحه افيكو كارجو - H.T.P,97,مراوح
29,مروحه افيكو ايروكارجو H.T.P - 120E18,97,مراوح
30,مروحه افيكو ديلي H.T.P - C11,97,مراوح
31,مروحه افيكو ايروستار-كورسور- H.T.P,97,مراوح
32,مروحه مان H.T.P - F2000,97,مراوح
33,صباب هواء مرسيدس 355 ديزل - HTK,4,HTK
34,صباب شكمان مرسيدس 355 ديزل - HTK,4,HTK
39,صباب شكمان غزاله 422 تيله عاليه - HTK,4,HTK
40,صباب هواء غزاله 422 تيله عاليه - HTK,4,HTK
41,بليه دبرياج اوبل / كادت - بريدا,22,بلي/ لوريت-بريدا
42,طلمبه بنزين اوبل -Gp,53,GP
43,طلمبه مياه اوبل - GWP,52,GWP
44,طلمبه مياه اوبل كورسا - GWP,52,GWP
45,طلمبه مياه اوبل ريكورد - GWP,52,GWP
46,كوبلن اوبل فيكترا -INTER BRAKES,1,بضاعه ايطالي
47,صباب هواء اسكانيا 113 - تكنوستار,5,TECNOSTAR
