81,زوج سبيكه بيئل نصر 912 ( 6 سلندر ) - 030 - تركي,9,نصر
82,زوج سبيكه كرسي نصر 912 ( 6 سلندر ) - 030 - تركي,9,نصر
83,زوج سبيكه بيئل نصر 912 ( 6 سلندر ) - 040 - تركي,9,نصر
84,زوج سبيكه كرسي نصر 912 ( 6 سلندر ) - 040 - تركي,9,نصر
85,طقم تيل قباقيب بدون لقمه امامي ايروتراكر- EGe FREN,1,افيكو
86,طقم سبيكه كرسي وبيل مرسيدس366- 010 - تركي,2,مرسيدس - نقل
87,ماستر عجل رينو - سوفركس,5,ملاكي
87,ماستر عجل رينو - سوفركس,15,رينو ملاكي
88,طقم سبيكه كرسي بيل مرسيدس 366 - 030 - تركي,2,مرسيدس - نقل
89,بليه دبرياج سكودا - بريدا,5,ملاكي
89,بليه دبرياج سكودا - بريدا,14,اوبل
89,بليه دبرياج سكودا - بريدا,16,سكودا
90,طقم جلب بيل بركنز-STD - تركي,12,بركنز
91,طقم جلب بيل بركنز 212 (STD) - تركي,4,مان - نقل
93,طقم هلال كرنك بركنز -010 - تركي,12,بركنز
94,طقم هلال 131 - STD - تركي,5,ملاكي
94,طقم هلال 131 - STD - تركي,38,فيات 131/1300+1600+CL+TC
95,طقم هلال شاهين -.0127 - تركي,5,ملاكي
95,طقم هلال شاهين -.0127 - تركي,28,شاهين+دوجن
96,طقم هلال شاهين STD - تركي,5,ملاكي
96,طقم هلال شاهين STD - تركي,28,شاهين+دوجن
97,جلبه بيل نصر 912- STD - تركي,9,نصر
98,طقم سبيكه كرسي بيل مرسيدس 366- STD - تركي,2,مرسيدس - نقل
99,ترس افيكو 66 سنه شمسي - كرستو,1,افيكو
100,طقم سبيكه كرسي بيل مرسيدس 366 - 1.00 - تركي,2,مرسيدس - نقل
101,طقم سبيكه كرسي وبيل نصر 040 - تركي,9,نصر
102,صباب ملاكي اوبل اوميجا 1800 - تكنوستار,5,ملاكي
102,صباب ملاكي اوبل اوميجا 1800 - تكنوستار,14,اوبل
103,صباب ملاكي اوبل اوميجا 1800 - تكنوستار,5,ملاكي
103,صباب ملاكي اوبل اوميجا 1800 - تكنوستار,14,اوبل
104,صباب فولكس بولو - تكنوستار,5,ملاكي
104,صباب فولكس بولو - تكنوستار,18,فولكس
105,صباب فولكس بولو - تكنوستار,5,ملاكي
105,صباب فولكس بولو - تكنوستار,18,فولكس
106,صباب بركنز p4-p3 - تكنوستار,12,بركنز
107,صباب بركنز p4/p3 - تكنوستار,12,بركنز
108,طقم شنبر موتور ديلي93 مللي - اصلي من ماك ديزل,1,افيكو
109,زوج سبيكه بيئل افيكو 104 تربو ( 010 ) - تركي,1,افيكو
