1,45
2,14
3,4
4,4
5,4
6,4
7,4
8,4
9,5
10,5
11,96
12,14
13,31
13,46
14,31
15,96
16,96
17,5
18,5
19,96
20,67
20,101
21,31
22,101
23,5
24,5
25,101
26,101
27,97
28,97
29,97
30,97
31,97
32,97
33,4
34,4
39,4
40,4
41,22
42,53
43,52
44,52
45,52
46,1
47,5
48,5
49,4
50,4
51,4
52,4
53,1
54,1
55,1
56,1
57,1
58,1
59,1
61,46
65,94
69,5
70,5
71,6
72,6
73,4
74,4
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,8
84,8
85,66
85,101
86,8
87,49
88,8
89,22
90,8
91,8
93,8
94,8
95,8
96,8
97,8
98,8
99,74
100,8
101,8
102,5
103,5
104,5
105,5
106,5
107,5
108,19
108,31
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
118,8
120,8
121,8
122,8
123,8
124,8
125,8
126,9
127,9
128,9
129,9
130,9
131,9
132,9
133,9
134,9
135,9
136,9
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,9
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,9
162,9
163,9
164,9
165,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
280,2
281,2
282,2
283,2
284,2
285,2
