تروس
طنابير
مراوح/فلانشات
اكر/ كوالين / ماكن زجاج/كونتاك
اويل سيل صباب+صره+عجل
كاوتش/قواعد
صبابات/دلايل
جوانات واطقم-اساتك
طنابير وصرروتيل وزغادوسنترك
طلمبات /رداخات/اصلاحاتهم
اطقم دبرياج/اسطوانات/مستلزماتهم
تربوهات
فلاتر
بساتم+شمايز
سيور-شداده سيور-اسلاك
مساتر/اصلاحاتها
مجموعه هواء
كراسي+صلايب+كردان+اكسات
ماتور-وش سلندر-كارتير-كرنك
مسامير+عصفوره سيخ تاكيه+كستبان
شنابر
فواني+رشاشات+ كباسات
مارش/دينامو/كهرباء
مستلزمات سبيكه
قرب/بيبي تانك
علبه دركسيون واصلاحاتهم
مساعدين
عمود كامه /كارونه/فولام/ بيل
اجزاء فيتيس
بلي / بيض
سرفوهات /اصلاحات
فوانيس/مرايات/اجزاء اشاره
مواسير رشاش
ريداتير/ انتركولر
بوجيهات/شمع سخان
بدال
اجزاء كابينه
اجزاء الهيكل الخارج والداخل
مقص/موازين/اصلاحات
كوبلن
سربنتينه
حله جنب واجزائها
فارغه
كوز فرامل
عمود فتيس
خرطوم
غير محدد
